1	0	0	16	16	0
2	0	16	16	16	0
3	0	32	16	16	0
4	0	48	16	16	0
5	0	64	16	16	0
6	0	80	16	16	0
7	0	96	16	16	0
8	0	112	16	16	0
9	16	0	16	16	0
10	16	16	16	16	0
11	16	32	16	16	0
12	16	48	16	16	0
13	16	64	16	16	0
14	16	80	16	16	0
15	16	96	16	16	0
16	16	112	16	16	0
17	32	0	16	16	0
18	32	16	16	16	0
19	32	32	16	16	0
20	32	48	16	16	0
21	32	64	16	16	0
22	32	80	16	16	0
23	32	96	16	16	0
24	32	112	16	16	0
25	48	0	16	16	0
26	48	16	16	16	0
27	48	32	16	16	0
28	48	48	16	16	0
29	48	64	16	16	0
30	48	80	16	16	0
31	48	96	16	16	0
32	48	112	16	16	0
33	64	0	16	16	0
34	64	16	16	16	0
35	64	32	16	16	0
36	64	48	16	16	0
37	64	64	16	16	0
38	64	80	16	16	0
39	64	96	16	16	0
40	64	112	16	16	0
41	80	0	16	16	0
42	80	16	16	16	0
43	80	32	16	16	0
44	80	48	16	16	0
45	80	64	16	16	0
46	80	80	16	16	0
47	80	96	16	16	0
48	80	112	16	16	0
49	96	0	16	16	0
50	96	16	16	16	0
51	96	32	16	16	0
52	96	48	16	16	0
53	96	64	16	16	0
54	96	80	16	16	0
55	96	96	16	16	0
56	96	112	16	16	0
57	112	0	16	16	0
58	112	16	16	16	0
59	112	32	16	16	0
60	112	48	16	16	0
61	112	64	16	16	0
62	112	80	16	16	0
63	112	96	16	16	0
64	112	112	16	16	0
65	128	0	16	16	0
66	128	16	16	16	0
67	128	32	16	16	0
68	128	48	16	16	0
69	128	64	16	16	0
70	128	80	16	16	0
71	128	96	16	16	0
72	128	112	16	16	0
73	144	0	16	16	0
74	144	16	16	16	0
75	144	32	16	16	0
76	144	48	16	16	0
77	144	64	16	16	0
78	144	80	16	16	0
79	144	96	16	16	0
80	144	112	16	16	0
81	160	0	16	16	0
82	160	16	16	16	0
83	160	32	16	16	0
84	160	48	16	16	0
85	160	64	16	16	0
86	160	80	16	16	0
87	160	96	16	16	0
88	160	112	16	16	0
89	176	0	16	16	0
90	176	16	16	16	0
91	176	32	16	16	0
92	176	48	16	16	0
93	176	64	16	16	0
94	176	80	16	16	0
95	176	96	16	16	0
96	176	112	16	16	0
97	192	0	16	16	0
98	192	16	16	16	0
99	192	32	16	16	0
100	192	48	16	16	0
101	192	64	16	16	0
102	192	80	16	16	0
103	192	96	16	16	0
104	192	112	16	16	0
105	208	0	16	16	0
106	208	16	16	16	0
107	208	32	16	16	0
108	208	48	16	16	0
109	208	64	16	16	0
110	208	80	16	16	0
111	208	96	16	16	0
112	208	112	16	16	0
113	224	0	16	16	0
114	224	16	16	16	0
115	224	32	16	16	0
116	224	48	16	16	0
117	224	64	16	16	0
118	224	80	16	16	0
119	224	96	16	16	0
120	224	112	16	16	0
121	240	0	16	16	0
122	240	16	16	16	0
123	240	32	16	16	0
124	240	48	16	16	0
125	240	64	16	16	0
126	240	80	16	16	0
127	240	96	16	16	0
128	240	112	16	16	0
129	256	0	16	16	0
130	256	16	16	16	0
131	256	32	16	16	0
132	256	48	16	16	0
133	256	64	16	16	0
134	256	80	16	16	0
135	256	96	16	16	0
136	256	112	16	16	0
137	272	0	16	16	0
138	272	16	16	16	0
139	272	32	16	16	0
140	272	48	16	16	0
141	272	64	16	16	0
142	272	80	16	16	0
143	272	96	16	16	0
144	272	112	16	16	0
145	288	0	16	16	0
146	288	16	16	16	0
147	288	32	16	16	0
148	288	48	16	16	0
149	288	64	16	16	0
150	288	80	16	16	0
151	288	96	16	16	2
152	288	112	16	16	2
153	304	0	16	16	0
154	304	16	16	16	0
155	304	32	16	16	0
156	304	48	16	16	0
157	304	64	16	16	0
158	304	80	16	16	0
159	304	96	16	16	0
160	304	112	16	16	0
161	0	112	32	32	1	
